organization,pacs,honoree,date,amount_usd
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Brad Sherman,2025-05-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Jack Reed,2025-05-30,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Veronica Escobar,2025-05-30,1000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Adam Gray,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Pete Ricketts,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Ami Bera,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Shomari Figures,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Debbie Wasserman Schultz,2025-04-30,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Suzan DelBene,2025-04-30,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Suzan DelBene,2025-04-30,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Don Davis,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Raul Ruiz,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Katherine Clark,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Tim Moore,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Andrew Garbarino,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Jimmy Gomez,2025-04-30,3500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Laura Gillen,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Grace Meng,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Bill Huizenga,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Jimmy Panetta,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Joe Neguse,2025-04-30,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Joe Neguse,2025-04-30,1000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. James Lankford,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Sam Liccardo,2025-04-30,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Marc Veasey,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Mike Bost,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Ashley Moody,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Nicole Malliotakis,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Nikki Budzinski,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Pete Aguilar,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Pete Ricketts,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Ron Estes,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Salud Carbajal,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Hillary Scholten,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Sharice Davids,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Greg Stanton,2025-04-30,4000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Bryan Steil,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Suhas Subramanyam,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Val Hoyle,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Veronica Escobar,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Debbie Wasserman Schultz,2025-04-24,-2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Suzan DelBene,2025-04-24,-2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Raul Ruiz,2025-04-24,-1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Jimmy Panetta,2025-04-24,-1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Joe Neguse,2025-04-24,-2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Pete Aguilar,2025-04-24,-5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Salud Carbajal,2025-04-24,-1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Greg Stanton,2025-04-24,-4000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Ann Wagner,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Ann Wagner,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Bill Foster,2025-03-27,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Blake Moore,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Brian Fitzpatrick,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Brad Schneider,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Brittany Pettersen,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Chrissy Houlahan,2025-03-27,1000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Brendan Boyle,2025-03-27,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Darren Soto,2025-03-27,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Warren Davidson,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),DCCC,2025-03-27,15000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Debbie Wasserman Schultz,2025-03-27,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Deborah Ross,2025-03-27,1000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Suzan DelBene,2025-03-27,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Suzan DelBene,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Linda Sanchez,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Derek Tran,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Raul Ruiz,2025-03-27,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),DSCC,2025-03-27,15000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),"Rep. Tom Emmer, Jr.",2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),"Rep. Tom Emmer, Jr.",2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Randy Feenstra,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Mike Crapo,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. French Hill,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. French Hill,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Jahana Hayes,2025-03-27,1000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Mark Warner,2025-03-27,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Mark Warner,2025-03-27,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Raja Krishnamoorthi,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),"Rep. Gabe Amo, Jr.",2025-03-27,2000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Guy Reschenthaler,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Kevin Hern,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Jim Himes,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Steny Hoyer,2025-03-27,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Jon Husted,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. French Hill,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Janelle Bynum,2025-03-27,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Jason Smith,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Jimmy Panetta,2025-03-27,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Jimmy Panetta,2025-03-27,1000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Joni Ernst,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Joe Neguse,2025-03-27,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Ruben Gallego,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Tim Kennedy,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Tim Kennedy,2025-03-27,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. David Kustoff,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. John Larson,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Marc Veasey,2025-03-27,3500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Dan Meuser,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Morgan McGarvey,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Steven Horsford,2025-03-27,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Nikki Budzinski,2025-03-27,1000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),NRCC,2025-03-27,15000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),NRSC,2025-03-27,15000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Jim Risch,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Pete Aguilar,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Mike Quigley,2025-03-27,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Tom Cotton,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Richard Neal,2025-03-27,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Maria Salazar,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Salud Carbajal,2025-03-27,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Scott Peters,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),"Sen. Bill Hagerty, IV",2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),"Sen. Ben Ray Lujan, Jr.",2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Greg Stanton,2025-03-27,4000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Steve Daines,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Tom Suozzi,2025-03-27,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Susie Lee,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Marilyn Strickland,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Ted Lieu,2025-03-27,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),"Sen. John Cornyn, III",2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Tim Scott,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),"Rep. Troy Carter, Sr.",2025-03-27,1000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Val Hoyle,2025-03-27,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Juan Vargas,2025-03-27,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Young Kim,2025-03-27,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),"Rep. Andy Barr, IV",2025-03-06,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),"Rep. Andy Barr, IV",2025-03-06,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Angie Craig,2025-03-06,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Angie Craig,2025-03-06,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),"Rep. Andy Barr, IV",2025-03-06,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Brendan Boyle,2025-03-06,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Deborah Ross,2025-03-06,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Lizzie Fletcher,2025-03-06,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Haley Stevens,2025-03-06,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Haley Stevens,2025-03-06,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Haley Stevens,2025-03-06,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Katherine Clark,2025-03-06,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Linda Sanchez,2025-03-06,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Marilyn Strickland,2025-03-06,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Angie Craig,2025-03-06,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Ted Lieu,2025-03-06,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Carol Miller,2025-02-18,-2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Bill Foster,2025-06-26,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Linda Sanchez,2025-06-26,1000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Adrian Smith,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Angela Alsobrooks,2025-06-25,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Bernie Moreno,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Brad Knott,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Pete Aguilar,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Mike Carey,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),"Rep. Emanuel Cleaver, II",2025-06-25,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. John Thune,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Elise Stefanik,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Elise Stefanik,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Jahana Hayes,2025-06-25,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),"Rep. Gabe Amo, Jr.",2025-06-25,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Kirsten Gillibrand,2025-06-25,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Bill Huizenga,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Zach Nunn,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Julia Letlow,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Kristen McDonald Rivet,2025-06-25,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),"Sen. John Barrasso, III",2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Lisa McClain,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Lori Trahan,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Barry Loudermilk,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Mike Flood,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Gwen Moore,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Brittany Pettersen,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Dan Meuser,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Pete Sessions,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Ron Estes,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Scott Fitzgerald,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Jacky Rosen,2025-06-25,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Marilyn Strickland,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Marlin Stutzman,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Mike Rounds,2025-06-25,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Todd Young,2025-05-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Angela Alsobrooks,2025-05-30,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Ashley Hinson,2025-05-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Ami Bera,2025-05-30,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Brendan Boyle,2025-05-30,1000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Don Bacon,2025-05-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Chuck Schumer,2025-05-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Tim Kennedy,2025-05-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Darin LaHood,2025-05-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Max Miller,2025-05-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),"Rep. Rob Menendez, Jr.",2025-05-30,1000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Monica De La Cruz,2025-05-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Morgan McGarvey,2025-05-30,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),"Rep. Rudy Yakym, III",2025-05-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Steve Scalise,2025-05-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Sharice Davids,2025-05-30,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Brad Sherman,2025-05-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Jack Reed,2025-05-30,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Veronica Escobar,2025-05-30,1000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Adam Gray,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Pete Ricketts,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Ami Bera,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Shomari Figures,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Debbie Wasserman Schultz,2025-04-30,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Suzan DelBene,2025-04-30,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Suzan DelBene,2025-04-30,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Don Davis,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Raul Ruiz,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Katherine Clark,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Tim Moore,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Andrew Garbarino,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Jimmy Gomez,2025-04-30,3500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Laura Gillen,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Grace Meng,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Bill Huizenga,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Jimmy Panetta,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Joe Neguse,2025-04-30,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Joe Neguse,2025-04-30,1000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. James Lankford,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Sam Liccardo,2025-04-30,2500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Marc Veasey,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Mike Bost,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Ashley Moody,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Nicole Malliotakis,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Nikki Budzinski,2025-04-30,1500.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Rep. Pete Aguilar,2025-04-30,5000.00
UBS AMERICAS INC.,UBS Americas Inc. Political Action Committee (UBS PAC),Sen. Pete Ricketts,2025-04-30,5000.00
